x			
1	1	Employee	Specialist
2	1	Vice	President
3	1	N/A	
4	1	Director	
5	2	Vice	President
6	2	President	Enron
7	1	Vice	President
8	1	Employee	Associate
9	2	N/A	
10	1		
11	1	Employee	
12	2		
13	2	Vice	President
14	1	Employee	Senior
15	1	Employee	
16	1	N/A	
17	1	Manager	
18	1	Employee	
19	1		
20	1	Manager	
21	1	Trader	
22	1	Vice	President
23	1	Employee	
24	2	Vice	President
25	1	Manager	Logistics
26	2	N/A	
27	1	Employee	
28	2	CEO	Enron
29	2	N/A	
30	1		
31	1	Trader	
32	2	Vice	President
33	1	Trader	
34	2	Vice	President
35	2	Vice	President
36	1		
37	1		
38	2	Managing	Director
39	1	Employee	
40	1	Trader	
41	1	Trader	
42	1	Employee	
43	2	Employee	
44	1	Director	
45	1	Employee	Senior
46	1	Employee	
47	2	Vice	President
48	1	Director	
49	1	Employee	Analyst
50	1	Director	
51	1	N/A	
52	2	President	
53	1		
54	2	Vice	President
55	1	Director	
56	1	Employee	Cash
57	2	Vice	President
58	2	In	House
59	2	Vice	President
60	1	Vice	President
61	1		
62	1	N/A	
63	1	Employee	
64	2	Employee	Government
65	1	Manager	
66	1	Managing	Director
67	2	President	Enron
68	2	CEO	
69	1	Manager	Logistics
70	2		
71	2	Trader	
72	2	Manager	Risk
73	2	Manager	Risk
74	2	Vice	President
75	2		
76	1	N/A	
77	1	Trader	
78	1	Vice	President
79	2	Vice	President
80	1	Manager	Real
81	2		
82	1	Managing	Director
83	2	CEO	Enron
84	1	Vice	President
85	1	Director	
86	1	Vice	President
87	1	Employee	Senior
88	1		
89	1	Employee	
90	1	Manager	
91	1	Employee	
92	1	Employee	
93	1	Employee	
94	1	Director	
95	2	CEO	
96	2	Director	Pipeline
97	2	Vice	President
98	1	Trader	
99	2	N/A	
100	1	N/A	
101	2	Employee	Senior
102	1	Director	
103	1	N/A	
104	2	Employee	
105	1		
106	2		
107	1	N/A	
108	2	President	Enron
109	2	N/A	
110	2		
111	1	N/A	
112	2	Managing	Director
113	2	Managing	Director
114	2		
115	1	Employee	
116	1	N/A	
117	1	Manager	
118	2	Employee	
119	1	Employee	
120	1	Director	
121	1		
122	1	Manager	Real
123	2	Employee	Administrative
124	2	N/A	
125	2	Employee	Administrative
126	1	Manager	
127	1	Manager	
128	2	Director	
129	2		
130	1	Trader	
131	1	N/A	
132	1	Employee	Analyst
133	1		
134	1	Vice	President
135	1	N/A	
136	2		
137	1	Vice	President
138	1	N/A	
139	1	N/A	
140	1	Employee	
141	2	Manager	
142	1	N/A	
143	1	Employee	Sr.Specialist
144	1	N/A	
145	2	Employee	
146	2	Vice	President
147	2	Vice	President
148	2	Manager	Chief
149	1	Director	
150	1	Director	
151	2		
152	2	Vice	President
153	1	Trader	
154	2	Employee	Chief
155	2	Director	
156	1		
157	1		
158	1	Vice	President
159	2	Vice	President
160	1	Vice	President
161	1	Employee	
162	2	President	Enron
163	1	Employee	
164	2	Vice	President
165	1		
166	1	N/A	
167	1	Employee	
168	2	N/A	
169	1	N/A	
170	1	N/A	
171	2	Manager	Regulatory
172	1	Employee	
173	1	Managing	Director
174	1	Vice	President
175	1	Employee	
176	1	N/A	
177	1	Trader	
178	2	Employee	
179	2	Manager	Risk
180	1	N/A	
181	2	N/A	
182	2	CEO	Enron
183	1	Employee	
184	1	N/A	
